Pos,Race No,Time,Category,Cat Pos,Gender,Gen Pos
1,1941,00:15:51,Overall,1,M,1
2,1902,00:16:02,Overall,2,M,2
3,1943,00:16:45,Overall,3,M,3
4,2008,00:17:35,40-49,1,M,4
5,2009,00:18:04,18-29,1,M,5
6,1938,00:18:12,16-17,1,M,6
7,1975,00:18:31,Overall,1,F,1
8,1977,00:18:37,Overall,2,F,2
9,1952,00:20:00,12-13,1,M,7
10,1884,00:20:11,40-49,2,M,8
11,1892,00:20:21,Overall,3,F,3
12,1921,00:20:27,12-13,1,F,4
13,1872,00:21:40,Under 11,1,M,9
14,1807,00:21:45,14-15,1,F,5
15,1986,00:21:56,16-17,2,M,10
16,1879,00:22:30,18-29,2,M,11
17,1997,00:22:38,50-59,1,M,12
18,1946,00:22:40,30-39,1,F,6
19,1880,00:22:55,16-17,1,F,7
20,1947,00:22:59,18-29,3,M,13
21,1825,00:23:00,Under 11,1,F,8
22,1901,00:23:06,30-39,2,F,9
23,1953,00:23:13,18-29,4,M,14
24,2010,00:23:44,30-39,1,M,15
25,1993,00:23:58,Under 11,2,F,10
26,1980,00:24:03,18-29,5,M,16
27,1978,00:24:12,Under 11,2,M,17
28,1944,00:24:21,18-29,6,M,18
29,1840,00:24:57,30-39,2,M,19
30,1974,00:25:03,Under 11,3,F,11
31,1829,00:25:35,30-39,3,M,20
32,1994,00:25:39,30-39,4,M,21
33,1863,00:25:56,30-39,3,F,12
34,1865,00:26:01,18-29,1,F,13
35,1985,00:26:21,40-49,3,M,22
36,2002,00:26:26,18-29,2,F,14
37,1874,00:26:30,40-49,1,F,15
38,1857,00:26:52,30-39,4,F,16
39,1885,00:26:52,18-29,3,F,17
40,1966,00:26:54,30-39,5,F,18
41,1839,00:26:55,30-39,6,F,19
42,1939,00:26:57,50-59,2,M,23
43,1814,00:27:09,18-29,4,F,20
44,1957,00:27:13,18-29,7,M,24
45,2005,00:27:18,Under 11,3,M,25
46,1954,00:27:20,40-49,4,M,26
47,1905,00:27:21,Under 11,4,M,27
48,1823,00:27:33,40-49,5,M,28
49,1948,00:27:49,30-39,5,M,29
50,1853,00:28:20,50-59,3,M,30
51,1933,00:28:31,Under 11,5,M,31
52,1869,00:28:35,Under 11,6,M,32
53,1862,00:28:38,18-29,8,M,33
54,1820,00:28:49,Under 11,7,M,34
55,1942,00:29:06,40-49,6,M,35
56,1895,00:29:07,50-59,4,M,36
57,1996,00:29:11,40-49,2,F,21
58,1831,00:29:34,30-39,7,F,22
59,1973,00:29:45,18-29,9,M,37
60,1958,00:29:46,Under 11,4,F,23
61,1963,00:29:47,50-59,1,F,24
62,1937,00:29:48,50-59,5,M,38
63,1841,00:29:51,18-29,5,F,25
64,1828,00:30:01,18-29,6,F,26
65,1873,00:30:05,40-49,7,M,39
66,1859,00:30:06,50-59,2,F,27
67,1891,00:30:07,40-49,3,F,28
68,1916,00:30:18,30-39,6,M,40
69,1920,00:30:18,30-39,8,F,29
70,1898,00:30:26,18-29,7,F,30
71,1999,00:30:35,30-39,9,F,31
72,2004,00:30:38,14-15,1,M,41
73,1834,00:30:56,18-29,10,M,42
74,1844,00:31:18,30-39,10,F,32
75,1890,00:31:20,40-49,8,M,43
76,1987,00:31:23,14-15,2,F,33
77,1871,00:31:27,18-29,8,F,34
78,1838,00:31:38,18-29,9,F,35
79,1932,00:31:40,30-39,7,M,44
80,1988,00:31:43,Under 11,8,M,45
81,1826,00:31:46,Under 11,9,M,46
82,2003,00:31:52,16-17,2,F,36
83,1930,00:32:01,40-49,4,F,37
84,1824,00:32:03,30-39,11,F,38
85,1955,00:32:05,30-39,12,F,39
86,1964,00:32:20,18-29,10,F,40
87,1860,00:32:43,40-49,5,F,41
88,1909,00:33:02,50-59,3,F,42
89,1910,00:33:06,30-39,13,F,43
90,2000,00:33:19,30-39,14,F,44
91,1935,00:33:22,50-59,6,M,47
92,1875,00:33:25,40-49,9,M,48
93,1918,00:33:32,40-49,6,F,45
94,1917,00:33:37,18-29,11,M,49
95,1923,00:33:42,50-59,4,F,46
96,1922,00:33:45,40-49,7,F,47
97,1915,00:33:46,30-39,8,M,50
98,1914,00:33:46,30-39,15,F,48
99,1945,00:34:00,30-39,9,M,51
100,1934,00:34:13,40-49,8,F,49
101,1864,00:34:18,18-29,11,F,50
102,1912,00:34:38,50-59,5,F,51
